游戏日,烹饪店,轻装店,重装店
24,915[3660] - 11[220],5[20] - 72[2270],0[0] - 0[0]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,174[696] - 11[220],26[104] - 16[495],0[0] - 0[0]
3,160[640] - 46[920],3[12] - 34[1055],0[0] - 0[0]
4,251[1004] - 75[1500],4[16] - 47[1460],0[0] - 0[0]
5,265[1060] - 108[2160],5[20] - 60[1875],0[0] - 0[0]
6,275[1100] - 146[2920],2[8] - 76[2395],0[0] - 0[0]
7,283[1132] - 173[3460],0[0] - 87[2735],0[0] - 0[0]
8,283[1132] - 173[3460],0[0] - 87[2735],0[0] - 0[0]
9,283[1132] - 168[3360],0[0] - 87[2735],0[0] - 0[0]
10,283[1132] - 173[3460],0[0] - 87[2735],0[0] - 0[0]
11,283[1132] - 173[3460],0[0] - 87[2735],0[0] - 0[0]
12,283[1132] - 169[3380],0[0] - 87[2735],0[0] - 0[0]
13,283[1132] - 172[3440],0[0] - 87[2735],0[0] - 0[0]
14,283[1132] - 168[3360],0[0] - 87[2735],0[0] - 0[0]
15,283[1132] - 173[3460],0[0] - 87[2735],0[0] - 0[0]
16,283[1132] - 173[3460],0[0] - 87[2735],0[0] - 0[0]
17,283[1132] - 168[3360],0[0] - 87[2735],0[0] - 0[0]
18,283[1132] - 174[3480],0[0] - 87[2735],0[0] - 0[0]
19,283[1132] - 173[3460],0[0] - 87[2735],0[0] - 0[0]
20,283[1132] - 168[3360],0[0] - 87[2735],0[0] - 0[0]
21,283[1132] - 172[3440],0[0] - 87[2735],0[0] - 0[0]
22,283[1132] - 172[3440],0[0] - 87[2735],0[0] - 0[0]
23,283[1132] - 167[3340],0[0] - 87[2735],0[0] - 0[0]
24,283[1132] - 172[3440],0[0] - 87[2735],0[0] - 0[0]
25,283[1132] - 167[3340],0[0] - 87[2735],0[0] - 0[0]
26,283[1132] - 171[3420],0[0] - 87[2735],0[0] - 0[0]
27,283[1132] - 172[3440],0[0] - 87[2735],0[0] - 0[0]
28,283[1132] - 171[3420],0[0] - 87[2735],0[0] - 0[0]
29,283[1132] - 173[3460],0[0] - 87[2735],0[0] - 0[0]
30,283[1132] - 166[3320],0[0] - 87[2735],0[0] - 0[0]
31,283[1132] - 170[3400],0[0] - 87[2735],0[0] - 0[0]
32,283[1132] - 172[3440],0[0] - 87[2735],0[0] - 0[0]
33,283[1132] - 172[3440],0[0] - 87[2735],0[0] - 0[0]
34,283[1132] - 169[3380],0[0] - 87[2735],0[0] - 0[0]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,157[628] - 12[240],2[8] - 13[415],0[0] - 0[0]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,43[172] - 13[260],6[24] - 7[225],0[0] - 0[0]
3,158[632] - 39[780],7[28] - 23[725],0[0] - 0[0]
4,196[784] - 65[1300],6[24] - 40[1250],0[0] - 0[0]
5,257[1028] - 90[1800],6[24] - 54[1695],0[0] - 0[0]
6,328[1312] - 116[2320],6[24] - 67[2100],0[0] - 0[0]
7,392[1568] - 134[2680],0[0] - 78[2455],0[0] - 0[0]
8,392[1568] - 134[2680],0[0] - 78[2455],0[0] - 0[0]
9,392[1568] - 130[2600],0[0] - 78[2455],0[0] - 0[0]
10,392[1568] - 126[2520],0[0] - 78[2455],0[0] - 0[0]
11,392[1568] - 126[2520],0[0] - 78[2455],0[0] - 0[0]
12,392[1568] - 131[2620],0[0] - 78[2455],0[0] - 0[0]
13,392[1568] - 131[2620],0[0] - 78[2455],0[0] - 0[0]
14,392[1568] - 132[2640],0[0] - 78[2455],0[0] - 0[0]
15,392[1568] - 133[2660],0[0] - 78[2455],0[0] - 0[0]
16,392[1568] - 124[2480],0[0] - 78[2455],0[0] - 0[0]
17,392[1568] - 125[2500],0[0] - 78[2455],0[0] - 0[0]
18,392[1568] - 130[2600],0[0] - 78[2455],0[0] - 0[0]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,68[272] - 10[200],7[28] - 8[240],0[0] - 0[0]
3,97[388] - 41[820],6[24] - 24[730],0[0] - 0[0]
4,120[480] - 64[1280],3[12] - 40[1250],0[0] - 0[0]
5,115[460] - 101[2020],7[28] - 56[1765],0[0] - 0[0]
6,145[580] - 128[2560],3[12] - 75[2365],0[0] - 0[0]
7,167[668] - 157[3140],12[48] - 85[2685],0[0] - 0[0]
8,155[620] - 178[3560],7[28] - 97[3060],0[0] - 0[0]
9,122[488] - 208[4160],3[12] - 109[3435],0[0] - 0[0]
1,28[112] - 4[80],4[16] - 3[90],0[0] - 0[0]
2,56[224] - 33[660],0[0] - 21[665],0[0] - 0[0]
3,119[476] - 57[1140],1[4] - 34[1065],0[0] - 0[0]
4,113[452] - 98[1960],32[128] - 46[1455],0[0] - 0[0]
1,55[220] - 7[140],66[264] - 3[100],0[0] - 0[0]
2,48[192] - 30[600],6[24] - 22[695],0[0] - 0[0]
3,96[384] - 68[1360],10[40] - 39[1225],0[0] - 0[0]
4,91[364] - 97[1940],6[24] - 52[1640],0[0] - 0[0]
5,122[488] - 124[2480],1[4] - 73[2285],0[0] - 0[0]
1,89[356] - 4[80],3[12] - 8[245],6[30] - 1[50]
2,128[512] - 27[540],3[12] - 24[765],0[0] - 3[150]
3,166[664] - 55[1100],7[28] - 39[1235],1[5] - 3[150]
4,244[976] - 79[1580],2[8] - 57[1780],1[5] - 4[220]
5,321[1284] - 104[2080],3[12] - 71[2215],3[15] - 5[290]
6,369[1476] - 136[2720],2[8] - 85[2675],8[40] - 5[290]
7,429[1716] - 150[3000],7[28] - 92[2905],9[45] - 7[405]
8,434[1736] - 173[3460],7[28] - 104[3285],9[45] - 7[405]
9,448[1792] - 197[3940],6[24] - 111[3500],9[45] - 7[405]
10,429[1716] - 221[4420],0[0] - 116[3655],9[45] - 7[405]
11,409[1636] - 244[4880],7[28] - 118[3725],9[45] - 7[405]
1,31[124] - 7[140],5[20] - 0[0],0[0] - 1[65]
2,68[272] - 47[940],5[20] - 17[525],2[10] - 2[130]
3,127[508] - 79[1580],6[24] - 33[1020],0[0] - 3[205]
4,139[556] - 115[2300],5[20] - 57[1785],6[30] - 3[205]
1,4[16] - 3[60],7[28] - 4[125],0[0] - 1[50]
2,50[200] - 37[740],81[324] - 20[630],6[30] - 1[50]
3,161[644] - 59[1180],1[4] - 44[1370],1[5] - 2[100]
1,3[12] - 5[100],0[0] - 3[95],3[15] - 0[0]
1,29[116] - 0[0],0[0] - 3[90],7[35] - 0[0]
1,21[84] - 5[100],7[28] - 2[60],3[15] - 1[50]
2,69[276] - 34[680],1[4] - 20[625],0[0] - 2[100]
3,76[304] - 66[1320],4[16] - 35[1105],3[15] - 2[100]
4,151[604] - 85[1700],18[72] - 43[1360],6[30] - 3[170]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,44[176] - 23[460],1[4] - 14[455],3[15] - 0[0]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 0[0]
1,105[420] - 7[140],13[52] - 4[120],7[35] - 0[0]
1,49[196] - 9[180],0[0] - 11[345],5[25] - 0[0]
1,26[104] - 5[100],1[4] - 3[100],0[0] - 1[75]
1,108[432] - 8[160],63[252] - 9[290],7[35] - 0[0]
2,170[680] - 39[780],7[28] - 28[915],4[20] - 1[65]
3,280[1120] - 66[1320],6[24] - 52[1660],6[30] - 1[65]
4,298[1192] - 106[2120],6[24] - 71[2265],0[0] - 2[135]
5,425[1700] - 122[2440],16[64] - 87[2770],5[25] - 3[185]
6,497[1988] - 144[2880],7[28] - 99[3145],5[25] - 3[185]
7,538[2152] - 156[3120],5[20] - 108[3425],7[35] - 4[265]
8,568[2272] - 175[3500],5[20] - 116[3665],7[35] - 4[265]
9,510[2040] - 210[4200],3[12] - 121[3825],7[35] - 4[265]
10,449[1796] - 240[4800],2[8] - 124[3920],7[35] - 4[265]
11,390[1560] - 265[5300],7[28] - 127[4015],7[35] - 4[265]
12,335[1340] - 296[5920],6[24] - 130[4105],7[35] - 4[265]
13,292[1168] - 316[6320],0[0] - 134[4230],7[35] - 4[265]
14,277[1108] - 334[6680],0[0] - 138[4350],7[35] - 4[265]
15,266[1064] - 356[7120],5[20] - 143[4505],7[35] - 4[265]
16,224[896] - 386[7720],6[24] - 147[4630],7[35] - 4[265]
17,222[888] - 406[8120],5[20] - 150[4725],7[35] - 4[265]
18,238[952] - 424[8480],3[12] - 153[4820],7[35] - 4[265]
19,233[932] - 432[8640],6[24] - 157[4950],7[35] - 4[265]
20,195[780] - 457[9140],5[20] - 160[5050],7[35] - 4[265]
21,193[772] - 476[9520],1[4] - 164[5170],7[35] - 4[265]
22,149[596] - 506[10120],2[8] - 167[5260],7[35] - 4[265]
23,132[528] - 529[10580],2[8] - 169[5320],7[35] - 4[265]
24,70[280] - 556[11120],2[8] - 174[5475],7[35] - 4[265]
25,22[88] - 571[11420],6[24] - 177[5565],7[35] - 4[265]
26,3[12] - 591[11820],2[8] - 180[5655],7[35] - 4[265]
27,7[28] - 611[12220],4[16] - 184[5775],7[35] - 4[265]
28,0[0] - 632[12640],6[24] - 189[5930],7[35] - 4[265]
29,5[20] - 653[13060],2[8] - 193[6050],7[35] - 4[265]
30,1[4] - 672[13440],5[20] - 197[6175],7[35] - 4[265]
31,3[12] - 669[13380],5[20] - 197[6175],7[35] - 4[265]
1,118[472] - 2[40],5[20] - 1[35],5[25] - 0[0]
2,125[500] - 30[600],0[0] - 16[510],3[15] - 1[65]
1,3[12] - 8[160],4[16] - 3[95],8[40] - 0[0]
1,97[388] - 1[20],19[76] - 7[215],1[5] - 1[70]
2,137[548] - 29[580],1[4] - 16[505],6[30] - 2[120]
3,173[692] - 58[1160],3[12] - 30[950],1[5] - 3[185]
4,224[896] - 87[1740],4[16] - 47[1480],2[10] - 3[185]
5,246[984] - 110[2200],7[28] - 62[1945],7[35] - 3[185]
1,29[116] - 4[80],7[28] - 3[90],0[0] - 0[0]
2,102[408] - 29[580],5[20] - 21[655],6[30] - 0[0]
1,1[4] - 5[100],0[0] - 4[120],8[40] - 1[50]
2,144[576] - 28[560],59[236] - 18[580],3[15] - 2[100]
1,31[124] - 3[60],3[12] - 3[95],1[5] - 0[0]
1,100[400] - 1[20],42[168] - 5[150],1[5] - 1[50]
1,9[36] - 8[160],2[8] - 2[60],7[35] - 0[0]
1,57[228] - 1[20],6[24] - 4[130],5[25] - 0[0]
1,63[252] - 6[120],7[28] - 3[90],2[10] - 0[0]
1,45[180] - 0[0],7[28] - 4[120],0[0] - 1[50]
2,74[296] - 26[520],6[24] - 21[650],1[5] - 2[100]
1,26[104] - 2[40],5[20] - 3[90],0[0] - 0[0]
1,78[312] - 0[0],7[28] - 1[30],5[25] - 0[0]
1,40[160] - 0[0],2[8] - 4[120],9[45] - 0[0]
2,11[44] - 26[520],2[8] - 17[525],7[35] - 1[100]
3,26[104] - 59[1180],4[16] - 31[965],3[15] - 2[165]
4,65[260] - 84[1680],2[8] - 44[1365],4[20] - 2[165]
5,84[336] - 115[2300],31[124] - 57[1775],8[40] - 3[235]
6,45[180] - 147[2940],0[0] - 77[2410],9[45] - 4[285]
1,22[88] - 1[20],5[20] - 4[120],0[0] - 0[0]
2,123[492] - 21[420],7[28] - 13[420],1[5] - 0[0]
3,134[536] - 49[980],51[204] - 30[960],1[5] - 0[0]
4,94[376] - 78[1560],1[4] - 45[1435],11[55] - 0[0]
5,163[652] - 105[2100],2[8] - 60[1900],7[35] - 1[50]
6,241[964] - 123[2460],2[8] - 70[2220],1[5] - 2[115]
7,315[1260] - 135[2700],7[28] - 82[2605],1[5] - 2[115]
8,317[1268] - 165[3300],7[28] - 94[2995],6[30] - 2[115]
9,305[1220] - 189[3780],21[84] - 103[3270],5[25] - 3[180]
1,57[228] - 1[20],4[16] - 3[100],0[0] - 0[0]
2,108[432] - 27[540],23[92] - 16[510],7[35] - 0[0]
1,0[0] - 0[0],0[0] - 0[0],4[20] - 0[0]
1,40[160] - 0[0],0[0] - 4[120],3[15] - 0[0]
1,42[168] - 0[0],1[4] - 5[160],0[0] - 0[0]
2,166[664] - 14[280],6[24] - 25[805],2[10] - 1[65]
1,51[204] - 0[0],3[12] - 3[95],0[0] - 0[0]
2,48[192] - 27[540],6[24] - 14[435],7[35] - 0[0]
3,67[268] - 59[1180],2[8] - 32[985],5[25] - 1[50]
4,109[436] - 81[1620],3[12] - 45[1390],1[5] - 2[100]
5,172[688] - 108[2160],6[24] - 58[1795],9[45] - 2[100]
6,209[836] - 130[2600],5[20] - 70[2165],0[0] - 4[200]
1,124[496] - 1[20],26[104] - 3[90],1[5] - 1[50]
2,208[832] - 28[560],21[84] - 17[535],2[10] - 2[100]
3,316[1264] - 52[1040],5[20] - 29[910],9[45] - 2[100]
4,358[1432] - 75[1500],44[176] - 36[1130],3[15] - 3[175]
5,432[1728] - 100[2000],4[16] - 46[1440],8[40] - 3[175]
6,434[1736] - 127[2540],7[28] - 58[1820],8[40] - 4[245]
7,546[2184] - 134[2680],2[8] - 68[2125],8[40] - 4[245]
1,67[268] - 7[140],50[200] - 3[95],0[0] - 0[0]
2,106[424] - 28[560],7[28] - 29[920],9[45] - 0[0]
1,32[128] - 0[0],1[4] - 3[95],7[35] - 0[0]
1,34[136] - 2[40],3[12] - 2[60],3[15] - 0[0]
2,104[416] - 26[520],7[28] - 18[580],3[15] - 1[65]
3,212[848] - 47[940],5[20] - 38[1200],0[0] - 2[115]
1,46[184] - 0[0],3[12] - 2[60],4[20] - 0[0]
2,134[536] - 23[460],1[4] - 18[570],4[20] - 0[0]
3,179[716] - 53[1060],2[8] - 31[970],3[15] - 1[50]
4,229[916] - 82[1640],0[0] - 46[1430],2[10] - 2[140]
5,300[1200] - 113[2260],22[88] - 58[1805],5[25] - 2[140]
6,366[1464] - 137[2740],3[12] - 71[2225],9[45] - 2[140]
7,459[1836] - 146[2920],5[20] - 78[2455],9[45] - 2[140]
8,452[1808] - 173[3460],2[8] - 85[2675],9[45] - 2[140]
9,457[1828] - 201[4020],2[8] - 91[2870],9[45] - 4[240]
10,475[1900] - 222[4440],7[28] - 97[3060],9[45] - 4[240]
11,466[1864] - 244[4880],5[20] - 101[3185],2[10] - 6[360]
12,422[1688] - 271[5420],7[28] - 104[3275],2[10] - 6[360]
13,389[1556] - 281[5620],5[20] - 107[3375],2[10] - 6[360]
14,315[1260] - 315[6300],1[4] - 111[3500],2[10] - 6[360]
15,287[1148] - 343[6860],4[16] - 114[3595],2[10] - 6[360]
16,256[1024] - 366[7320],6[24] - 119[3755],2[10] - 6[360]
17,204[816] - 394[7880],0[0] - 123[3875],2[10] - 6[360]
18,156[624] - 419[8380],2[8] - 126[3975],2[10] - 6[360]
19,127[508] - 430[8600],7[28] - 128[4035],2[10] - 6[360]
20,98[392] - 456[9120],2[8] - 132[4160],2[10] - 6[360]
1,38[152] - 1[20],3[12] - 4[120],0[0] - 1[65]
2,64[256] - 27[540],21[84] - 20[630],9[45] - 1[65]
1,45[180] - 0[0],7[28] - 3[90],0[0] - 0[0]
2,100[400] - 18[360],4[16] - 25[785],0[0] - 1[50]
1,56[224] - 0[0],8[32] - 3[90],0[0] - 0[0]
2,129[516] - 22[440],13[52] - 17[535],0[0] - 2[100]
3,245[980] - 42[840],23[92] - 37[1135],3[15] - 2[100]
4,363[1452] - 66[1320],64[256] - 50[1550],0[0] - 3[190]
5,399[1596] - 92[1840],4[16] - 70[2175],1[5] - 4[255]
6,449[1796] - 116[2320],0[0] - 84[2600],2[10] - 4[255]
7,490[1960] - 133[2660],1[4] - 92[2845],2[10] - 4[255]
8,516[2064] - 157[3140],5[20] - 103[3180],3[15] - 4[255]
9,552[2208] - 181[3620],4[16] - 109[3365],3[15] - 5[345]
10,552[2208] - 206[4120],0[0] - 116[3595],1[5] - 7[445]
1,0[0] - 0[0],0[0] - 0[0],2[10] - 0[0]
2,48[192] - 25[500],5[20] - 16[525],1[5] - 1[65]
3,56[224] - 59[1180],4[16] - 31[1005],6[30] - 2[145]
4,107[428] - 89[1780],1[4] - 51[1635],6[30] - 3[195]
5,132[528] - 115[2300],0[0] - 67[2140],6[30] - 3[195]
6,56[224] - 150[3000],6[24] - 81[2595],0[0] - 4[245]
7,62[248] - 172[3440],16[64] - 94[3010],2[10] - 5[310]
8,31[124] - 204[4080],4[16] - 104[3330],2[10] - 5[310]
9,7[28] - 228[4560],1[4] - 118[3765],8[40] - 5[310]
10,4[16] - 250[5000],0[0] - 128[4090],8[40] - 5[310]
11,4[16] - 267[5340],5[20] - 136[4335],3[15] - 6[375]
12,0[0] - 285[5700],1[4] - 141[4495],3[15] - 6[375]
13,4[16] - 287[5740],7[28] - 145[4625],5[25] - 7[455]
14,0[0] - 301[6020],5[20] - 150[4785],5[25] - 7[455]
15,4[16] - 314[6280],6[24] - 156[4970],6[30] - 7[455]
16,0[0] - 332[6640],3[12] - 160[5100],6[30] - 7[455]
17,1[4] - 347[6940],4[16] - 165[5255],6[30] - 7[455]
18,0[0] - 357[7140],5[20] - 169[5375],6[30] - 7[455]
19,3[12] - 360[7200],2[8] - 174[5530],6[30] - 7[455]
20,4[16] - 372[7440],1[4] - 178[5660],6[30] - 7[455]
21,0[0] - 387[7740],3[12] - 182[5790],6[30] - 7[455]
22,0[0] - 403[8060],0[0] - 189[6015],6[30] - 7[455]
23,3[12] - 417[8340],1[4] - 194[6175],6[30] - 7[455]
24,0[0] - 430[8600],7[28] - 198[6300],6[30] - 7[455]
25,3[12] - 434[8680],1[4] - 202[6420],6[30] - 7[455]
26,1[4] - 450[9000],7[28] - 207[6570],6[30] - 7[455]
27,0[0] - 466[9320],1[4] - 212[6730],6[30] - 7[455]
28,4[16] - 482[9640],2[8] - 216[6860],6[30] - 7[455]
29,1[4] - 496[9920],4[16] - 219[6955],6[30] - 7[455]
30,4[16] - 507[10140],1[4] - 224[7120],6[30] - 7[455]
31,0[0] - 508[10160],7[28] - 227[7220],6[30] - 7[455]
32,0[0] - 508[10160],7[28] - 227[7220],6[30] - 7[455]
33,0[0] - 508[10160],7[28] - 227[7220],6[30] - 7[455]
34,0[0] - 508[10160],7[28] - 227[7220],6[30] - 7[455]
35,0[0] - 508[10160],7[28] - 227[7220],6[30] - 7[455]
36,0[0] - 508[10160],7[28] - 227[7220],6[30] - 7[455]
37,0[0] - 499[9980],7[28] - 227[7220],6[30] - 7[455]
38,0[0] - 499[9980],7[28] - 227[7220],6[30] - 7[455]
39,0[0] - 499[9980],7[28] - 227[7220],6[30] - 7[455]
40,0[0] - 499[9980],7[28] - 227[7220],6[30] - 7[455]
41,0[0] - 499[9980],7[28] - 227[7220],6[30] - 7[455]
42,0[0] - 499[9980],7[28] - 227[7220],6[30] - 7[455]
43,0[0] - 490[9800],7[28] - 227[7220],6[30] - 7[455]
44,0[0] - 490[9800],7[28] - 227[7220],6[30] - 7[455]
45,0[0] - 490[9800],7[28] - 227[7220],6[30] - 7[455]
46,0[0] - 490[9800],7[28] - 227[7220],6[30] - 7[455]
47,0[0] - 490[9800],7[28] - 227[7220],6[30] - 7[455]
48,0[0] - 490[9800],7[28] - 227[7220],6[30] - 7[455]
49,0[0] - 481[9620],7[28] - 227[7220],6[30] - 7[455]
50,0[0] - 481[9620],7[28] - 227[7220],6[30] - 7[455]
51,0[0] - 481[9620],7[28] - 227[7220],6[30] - 7[455]
52,0[0] - 481[9620],7[28] - 227[7220],6[30] - 7[455]
53,0[0] - 481[9620],7[28] - 227[7220],6[30] - 7[455]
54,0[0] - 481[9620],7[28] - 227[7220],6[30] - 7[455]
55,0[0] - 471[9420],7[28] - 227[7220],6[30] - 7[455]
56,0[0] - 471[9420],7[28] - 227[7220],6[30] - 7[455]
57,0[0] - 471[9420],7[28] - 227[7220],6[30] - 7[455]
58,6149[24596] - 471[9420],7[28] - 227[7220],6[30] - 7[455]
59,6004[24016] - 499[9980],7[28] - 227[7220],6[30] - 7[455]
60,5849[23396] - 530[10600],7[28] - 227[7220],6[30] - 7[455]
61,5699[22796] - 550[11000],7[28] - 227[7220],6[30] - 7[455]
62,5554[22216] - 579[11580],7[28] - 227[7220],6[30] - 7[455]
63,5419[21676] - 606[12120],7[28] - 227[7220],6[30] - 7[455]
64,5309[21236] - 628[12560],7[28] - 227[7220],6[30] - 7[455]
65,5149[20596] - 660[13200],7[28] - 227[7220],6[30] - 7[455]
66,4999[19996] - 690[13800],7[28] - 227[7220],6[30] - 7[455]
67,4849[19396] - 710[14200],7[28] - 227[7220],6[30] - 7[455]
68,4684[18736] - 743[14860],7[28] - 227[7220],6[30] - 7[455]
69,4544[18176] - 771[15420],7[28] - 227[7220],6[30] - 7[455]
70,4419[17676] - 796[15920],7[28] - 227[7220],6[30] - 7[455]
71,4274[17096] - 825[16500],7[28] - 227[7220],6[30] - 7[455]
72,4129[16516] - 854[17080],7[28] - 227[7220],6[30] - 7[455]
73,4014[16056] - 867[17340],7[28] - 227[7220],6[30] - 7[455]
74,3839[15356] - 902[18040],7[28] - 227[7220],6[30] - 7[455]
75,3674[14696] - 935[18700],7[28] - 227[7220],6[30] - 7[455]
76,3559[14236] - 958[19160],7[28] - 227[7220],6[30] - 7[455]
77,3404[13616] - 989[19780],7[28] - 227[7220],6[30] - 7[455]
78,3259[13036] - 1018[20360],7[28] - 227[7220],6[30] - 7[455]
79,3084[12336] - 1043[20860],7[28] - 227[7220],6[30] - 7[455]
80,2929[11716] - 1074[21480],7[28] - 227[7220],6[30] - 7[455]
81,2759[11036] - 1108[22160],7[28] - 227[7220],6[30] - 7[455]
82,2559[10236] - 1148[22960],7[28] - 227[7220],6[30] - 7[455]
83,2404[9616] - 1179[23580],7[28] - 227[7220],6[30] - 7[455]
84,2189[8756] - 1222[24440],7[28] - 227[7220],6[30] - 7[455]
85,2044[8176] - 1240[24800],7[28] - 227[7220],6[30] - 7[455]
86,8922[35688] - 1263[25260],7[28] - 227[7220],6[30] - 7[455]
87,8792[35168] - 1289[25780],7[28] - 227[7220],6[30] - 7[455]
88,8657[34628] - 1316[26320],7[28] - 227[7220],6[30] - 7[455]
89,8542[34168] - 1339[26780],7[28] - 227[7220],6[30] - 7[455]
90,8347[33388] - 1378[27560],7[28] - 227[7220],6[30] - 7[455]
91,8177[32708] - 1402[28040],7[28] - 227[7220],6[30] - 7[455]
92,8032[32128] - 1431[28620],7[28] - 227[7220],6[30] - 7[455]
93,7907[31628] - 1456[29120],7[28] - 227[7220],6[30] - 7[455]
94,7737[30948] - 1490[29800],7[28] - 227[7220],6[30] - 7[455]
95,7577[30308] - 1522[30440],7[28] - 227[7220],6[30] - 7[455]
96,7437[29748] - 1550[31000],7[28] - 227[7220],6[30] - 7[455]
97,7312[29248] - 1565[31300],7[28] - 227[7220],6[30] - 7[455]
98,7137[28548] - 1599[31980],7[28] - 227[7220],6[30] - 7[455]
99,6977[27908] - 1632[32640],7[28] - 227[7220],6[30] - 7[455]
100,6817[27268] - 1664[33280],7[28] - 227[7220],6[30] - 7[455]
101,6657[26628] - 1696[33920],7[28] - 227[7220],6[30] - 7[455]
