游戏日,烹饪店,轻装店,重装店
4,37[148] - 0[0],0[0] - 0[0],2[10] - 15[900]
5,7[28] - 23[230],0[0] - 0[0],6[30] - 15[900]
6,1[4] - 42[420],0[0] - 0[0],9[45] - 15[900]
7,13[52] - 48[480],0[0] - 0[0],4[20] - 16[965]
8,13[52] - 53[530],0[0] - 0[0],4[20] - 16[965]
9,13[52] - 53[530],0[0] - 0[0],4[20] - 16[965]
10,13[52] - 47[470],0[0] - 0[0],4[20] - 16[965]
11,13[52] - 52[520],0[0] - 0[0],4[20] - 16[965]
12,13[52] - 52[520],0[0] - 0[0],4[20] - 16[965]
13,13[52] - 46[460],0[0] - 0[0],4[20] - 16[965]
14,13[52] - 51[510],0[0] - 0[0],4[20] - 16[965]
15,13[52] - 50[500],0[0] - 0[0],4[20] - 16[965]
16,13[52] - 44[440],0[0] - 0[0],4[20] - 16[965]
17,13[52] - 49[490],0[0] - 0[0],4[20] - 16[965]
18,13[52] - 49[490],0[0] - 0[0],4[20] - 16[965]
19,13[52] - 43[430],0[0] - 0[0],4[20] - 16[965]
20,13[52] - 48[480],0[0] - 0[0],4[20] - 16[965]
21,13[52] - 48[480],0[0] - 0[0],4[20] - 16[965]
22,13[52] - 46[460],0[0] - 0[0],4[20] - 16[965]
23,13[52] - 46[460],0[0] - 0[0],4[20] - 16[965]
24,13[52] - 39[390],0[0] - 0[0],4[20] - 16[965]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,24[96] - 2[20],0[0] - 0[0],0[0] - 8[510]
3,46[184] - 2[20],0[0] - 0[0],0[0] - 8[510]
4,40[160] - 3[30],0[0] - 0[0],0[0] - 8[510]
5,86[344] - 3[30],0[0] - 0[0],0[0] - 8[510]
6,86[344] - 0[0],0[0] - 0[0],0[0] - 8[510]
7,83[332] - 4[40],0[0] - 0[0],0[0] - 8[510]
8,83[332] - 3[30],0[0] - 0[0],0[0] - 8[510]
9,83[332] - 0[0],0[0] - 0[0],0[0] - 8[510]
10,83[332] - 4[40],0[0] - 0[0],0[0] - 8[510]
11,80[320] - 3[30],0[0] - 0[0],0[0] - 8[510]
12,80[320] - 0[0],0[0] - 0[0],0[0] - 8[510]
13,80[320] - 4[40],0[0] - 0[0],0[0] - 8[510]
14,80[320] - 4[40],0[0] - 0[0],0[0] - 8[510]
15,80[320] - 4[40],0[0] - 0[0],0[0] - 8[510]
16,80[320] - 3[30],0[0] - 0[0],0[0] - 8[510]
17,80[320] - 4[40],0[0] - 0[0],0[0] - 8[510]
18,80[320] - 3[30],0[0] - 0[0],0[0] - 8[510]
19,80[320] - 1[10],0[0] - 0[0],0[0] - 8[510]
20,80[320] - 1[10],0[0] - 0[0],0[0] - 8[510]
21,77[308] - 3[30],0[0] - 0[0],0[0] - 8[510]
22,77[308] - 2[20],0[0] - 0[0],0[0] - 8[510]
23,77[308] - 2[20],0[0] - 0[0],0[0] - 8[510]
24,74[296] - 3[30],0[0] - 0[0],0[0] - 8[510]
25,74[296] - 1[10],0[0] - 0[0],0[0] - 8[510]
26,71[284] - 0[0],0[0] - 0[0],0[0] - 8[510]
27,71[284] - 4[40],0[0] - 0[0],0[0] - 8[510]
28,65[260] - 5[50],0[0] - 0[0],0[0] - 8[510]
29,62[248] - 3[30],0[0] - 0[0],0[0] - 8[510]
30,62[248] - 6[60],0[0] - 0[0],0[0] - 8[510]
31,59[236] - 6[60],0[0] - 0[0],0[0] - 8[510]
32,59[236] - 6[60],0[0] - 0[0],0[0] - 8[510]
33,56[224] - 7[70],0[0] - 0[0],0[0] - 8[510]
34,56[224] - 4[40],0[0] - 0[0],0[0] - 8[510]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,0[0] - 0[0],0[0] - 0[0],1[5] - 7[445]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,31[124] - 1[10],0[0] - 0[0],1[5] - 7[450]
3,2[8] - 11[110],0[0] - 0[0],6[30] - 11[690]
4,24[96] - 34[340],0[0] - 0[0],2[10] - 13[790]
5,24[96] - 28[280],0[0] - 0[0],2[10] - 13[790]
6,24[96] - 33[330],0[0] - 0[0],2[10] - 13[790]
7,24[96] - 32[320],0[0] - 0[0],2[10] - 13[790]
8,24[96] - 27[270],0[0] - 0[0],2[10] - 13[790]
9,24[96] - 32[320],0[0] - 0[0],2[10] - 13[790]
10,24[96] - 31[310],0[0] - 0[0],2[10] - 13[790]
11,24[96] - 26[260],0[0] - 0[0],2[10] - 13[790]
12,24[96] - 31[310],0[0] - 0[0],2[10] - 13[790]
13,24[96] - 30[300],0[0] - 0[0],2[10] - 13[790]
14,24[96] - 25[250],0[0] - 0[0],2[10] - 13[790]
15,24[96] - 30[300],0[0] - 0[0],2[10] - 13[790]
16,24[96] - 29[290],0[0] - 0[0],2[10] - 13[790]
17,24[96] - 24[240],0[0] - 0[0],2[10] - 13[790]
18,24[96] - 29[290],0[0] - 0[0],2[10] - 13[790]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,18[72] - 7[70],0[0] - 0[0],12[60] - 6[390]
3,28[112] - 21[210],0[0] - 0[0],2[10] - 11[685]
4,10[40] - 50[500],0[0] - 0[0],1[5] - 12[735]
5,17[68] - 52[520],0[0] - 0[0],5[25] - 13[785]
6,1[4] - 71[710],0[0] - 0[0],8[40] - 14[835]
7,7[28] - 85[850],0[0] - 0[0],0[0] - 15[905]
8,23[92] - 84[840],0[0] - 0[0],4[20] - 15[905]
9,40[160] - 97[970],0[0] - 0[0],7[35] - 15[905]
1,27[108] - 0[0],6[24] - 4[125],7[35] - 4[300]
2,2[8] - 11[110],2[8] - 13[420],0[0] - 8[515]
3,1[4] - 21[210],0[0] - 32[1020],3[15] - 11[730]
4,0[0] - 29[290],1[4] - 45[1430],5[25] - 11[730]
1,0[0] - 0[0],7[28] - 6[200],2[10] - 7[535]
2,0[0] - 5[50],1[4] - 25[795],6[30] - 8[600]
3,1[4] - 21[210],1[4] - 41[1295],3[15] - 9[650]
4,0[0] - 20[200],1[4] - 55[1740],7[35] - 10[700]
5,0[0] - 44[440],4[16] - 73[2305],3[15] - 12[800]
1,3[12] - 3[30],0[0] - 5[165],0[0] - 5[335]
2,1[4] - 18[180],6[24] - 22[710],2[10] - 7[510]
3,23[92] - 25[250],7[28] - 40[1280],12[60] - 10[680]
4,0[0] - 39[390],5[20] - 54[1705],6[30] - 12[780]
5,0[0] - 56[560],3[12] - 74[2330],7[35] - 12[780]
6,0[0] - 69[690],3[12] - 93[2935],0[0] - 14[895]
7,5[20] - 74[740],3[12] - 108[3395],2[10] - 15[970]
8,17[68] - 92[920],7[28] - 125[3960],2[10] - 15[970]
9,1[4] - 115[1150],0[0] - 142[4500],2[10] - 15[970]
10,6[24] - 120[1200],2[8] - 157[4980],2[10] - 15[970]
11,0[0] - 137[1370],2[8] - 170[5385],2[10] - 15[970]
1,0[0] - 0[0],1[4] - 7[230],3[15] - 5[275]
2,11[44] - 14[140],1[4] - 21[670],2[10] - 7[415]
3,28[112] - 25[250],1[4] - 37[1190],1[5] - 11[640]
4,29[116] - 29[290],4[16] - 51[1640],0[0] - 14[805]
1,9[36] - 0[0],0[0] - 0[0],0[0] - 5[300]
2,0[0] - 0[0],7[28] - 13[410],10[50] - 9[570]
3,1[4] - 16[160],4[16] - 28[895],1[5] - 11[720]
1,3[12] - 0[0],3[12] - 3[90],5[25] - 4[230]
1,0[0] - 0[0],2[8] - 4[125],7[35] - 3[215]
1,0[0] - 0[0],6[24] - 1[35],5[25] - 2[160]
2,33[132] - 0[0],49[196] - 15[465],1[5] - 7[450]
3,4[16] - 15[150],4[16] - 26[805],3[15] - 9[565]
4,1[4] - 8[80],1[4] - 43[1340],8[40] - 9[565]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,1[4] - 2[20],6[24] - 4[125],2[10] - 5[305]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 0[0]
1,0[0] - 1[10],0[0] - 1[30],1[5] - 5[360]
1,22[88] - 0[0],2[8] - 5[155],4[20] - 3[185]
1,0[0] - 0[0],2[8] - 7[220],5[25] - 6[450]
1,5[20] - 0[0],5[20] - 6[185],3[15] - 5[335]
2,2[8] - 8[80],3[12] - 11[335],8[40] - 7[435]
3,2[8] - 23[230],1[4] - 27[860],9[45] - 8[485]
4,1[4] - 31[310],7[28] - 49[1540],2[10] - 10[605]
5,6[24] - 54[540],6[24] - 59[1855],3[15] - 11[655]
6,49[196] - 57[570],7[28] - 75[2355],2[10] - 12[725]
7,1[4] - 78[780],0[0] - 89[2790],2[10] - 12[725]
8,1[4] - 90[900],6[24] - 105[3310],4[20] - 13[795]
9,23[92] - 112[1120],1[4] - 120[3780],4[20] - 13[795]
10,10[40] - 116[1160],7[28] - 135[4255],1[5] - 14[895]
11,1[4] - 135[1350],1[4] - 147[4630],1[5] - 14[895]
12,10[40] - 157[1570],24[96] - 157[4950],1[5] - 14[895]
13,2[8] - 159[1590],2[8] - 170[5345],1[5] - 14[895]
14,17[68] - 172[1720],2[8] - 181[5690],1[5] - 14[895]
15,0[0] - 184[1840],0[0] - 191[6005],1[5] - 14[895]
16,2[8] - 178[1780],5[20] - 198[6220],1[5] - 14[895]
17,0[0] - 186[1860],3[12] - 203[6375],1[5] - 14[895]
18,1[4] - 189[1890],6[24] - 207[6505],1[5] - 14[895]
19,2[8] - 182[1820],12[48] - 210[6595],1[5] - 14[895]
20,2[8] - 185[1850],5[20] - 214[6720],1[5] - 14[895]
21,2[8] - 190[1900],1[4] - 218[6850],1[5] - 14[895]
22,1[4] - 184[1840],3[12] - 222[6970],1[5] - 14[895]
23,2[8] - 187[1870],7[28] - 226[7095],1[5] - 14[895]
24,1[4] - 191[1910],1[4] - 231[7245],1[5] - 14[895]
25,0[0] - 184[1840],4[16] - 233[7305],1[5] - 14[895]
26,2[8] - 186[1860],0[0] - 238[7465],1[5] - 14[895]
27,2[8] - 189[1890],6[24] - 240[7525],1[5] - 14[895]
28,2[8] - 181[1810],2[8] - 243[7620],1[5] - 14[895]
29,2[8] - 184[1840],5[20] - 245[7685],1[5] - 14[895]
30,1[4] - 189[1890],0[0] - 250[7835],1[5] - 14[895]
31,1[4] - 180[1800],0[0] - 251[7865],1[5] - 14[895]
1,13[52] - 0[0],1[4] - 6[185],0[0] - 4[315]
2,51[204] - 4[40],52[208] - 18[560],0[0] - 9[655]
1,2[8] - 0[0],4[16] - 5[160],7[35] - 3[230]
1,0[0] - 0[0],0[0] - 0[0],4[20] - 4[285]
2,1[4] - 10[100],4[16] - 13[395],8[40] - 9[615]
3,12[48] - 33[330],2[8] - 25[785],3[15] - 10[665]
4,2[8] - 36[360],0[0] - 42[1310],6[30] - 11[730]
5,11[44] - 61[610],37[148] - 57[1790],2[10] - 13[830]
1,0[0] - 0[0],3[12] - 6[190],0[0] - 2[150]
2,1[4] - 11[110],4[16] - 25[785],3[15] - 5[350]
1,23[92] - 0[0],6[24] - 3[95],6[30] - 2[160]
2,2[8] - 2[20],0[0] - 14[445],2[10] - 8[505]
1,9[36] - 0[0],1[4] - 3[90],4[20] - 3[205]
1,2[8] - 1[10],1[4] - 5[150],11[55] - 3[195]
1,2[8] - 0[0],0[0] - 5[150],2[10] - 4[245]
1,18[72] - 0[0],1[4] - 5[150],7[35] - 3[290]
1,0[0] - 0[0],0[0] - 0[0],1[5] - 1[50]
1,14[56] - 0[0],6[24] - 5[165],9[45] - 1[75]
2,34[136] - 13[130],6[24] - 11[360],5[25] - 5[400]
1,39[156] - 1[10],0[0] - 0[0],5[25] - 2[165]
1,0[0] - 0[0],0[0] - 0[0],9[45] - 2[165]
1,0[0] - 0[0],58[232] - 2[60],12[60] - 1[50]
2,1[4] - 11[110],6[24] - 14[440],3[15] - 4[240]
3,2[8] - 16[160],3[12] - 29[900],7[35] - 9[580]
4,22[88] - 27[270],0[0] - 37[1150],0[0] - 11[680]
5,27[108] - 46[460],4[16] - 58[1810],0[0] - 11[680]
6,1[4] - 71[710],7[28] - 68[2135],0[0] - 12[750]
1,0[0] - 0[0],0[0] - 0[0],4[20] - 3[190]
2,2[8] - 2[20],3[12] - 13[425],2[10] - 7[420]
3,0[0] - 20[200],6[24] - 29[930],2[10] - 10[610]
4,2[8] - 22[220],7[28] - 45[1420],0[0] - 11[660]
5,1[4] - 38[380],1[4] - 60[1910],6[30] - 11[660]
6,0[0] - 60[600],4[16] - 79[2515],6[30] - 11[660]
7,28[112] - 59[590],6[24] - 95[3025],2[10] - 12[725]
8,50[200] - 71[710],3[12] - 108[3440],3[15] - 13[775]
9,8[32] - 102[1020],2[8] - 120[3820],8[40] - 13[775]
1,0[0] - 0[0],0[0] - 0[0],4[20] - 1[80]
2,0[0] - 15[150],4[16] - 11[350],0[0] - 6[390]
1,0[0] - 0[0],0[0] - 0[0],2[10] - 1[100]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 3[195]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 1[50]
2,13[52] - 3[30],0[0] - 13[420],9[45] - 2[115]
1,0[0] - 0[0],0[0] - 0[0],1[5] - 1[50]
2,22[88] - 0[0],38[152] - 9[270],4[20] - 6[440]
3,24[96] - 15[150],60[240] - 21[650],0[0] - 8[570]
4,7[28] - 31[310],3[12] - 34[1065],0[0] - 9[620]
5,56[224] - 34[340],23[92] - 52[1615],3[15] - 9[620]
6,32[128] - 57[570],4[16] - 68[2110],1[5] - 11[720]
1,0[0] - 0[0],0[0] - 8[250],0[0] - 3[215]
2,32[128] - 13[130],1[4] - 31[990],0[0] - 4[285]
3,13[52] - 39[390],2[8] - 46[1450],2[10] - 7[455]
4,19[76] - 38[380],3[12] - 70[2225],8[40] - 9[580]
5,31[124] - 61[610],3[12] - 85[2705],7[35] - 10[630]
6,0[0] - 84[840],3[12] - 104[3285],9[45] - 11[695]
7,19[76] - 96[960],22[88] - 117[3710],6[30] - 12[745]
1,19[76] - 0[0],3[12] - 4[125],7[35] - 2[135]
2,1[4] - 22[220],7[28] - 14[440],6[30] - 7[465]
1,30[120] - 0[0],6[24] - 6[190],6[30] - 0[0]
1,17[68] - 0[0],46[184] - 0[0],2[10] - 2[160]
2,0[0] - 16[160],66[264] - 14[460],6[30] - 7[440]
3,1[4] - 35[350],23[92] - 35[1115],3[15] - 10[630]
1,0[0] - 0[0],0[0] - 0[0],2[10] - 4[215]
2,0[0] - 5[50],3[12] - 14[445],2[10] - 8[515]
3,1[4] - 12[120],6[24] - 31[980],3[15] - 10[630]
4,0[0] - 19[190],3[12] - 46[1450],4[20] - 11[695]
5,35[140] - 34[340],1[4] - 67[2100],2[10] - 12[745]
6,2[8] - 45[450],3[12] - 81[2540],7[35] - 13[795]
7,16[64] - 52[520],1[4] - 98[3070],3[15] - 14[845]
8,9[36] - 70[700],0[0] - 113[3530],0[0] - 15[895]
9,0[0] - 84[840],6[24] - 126[3930],5[25] - 16[960]
10,27[108] - 94[940],5[20] - 139[4345],7[35] - 17[1040]
11,2[8] - 110[1100],3[12] - 154[4820],7[35] - 17[1040]
12,24[96] - 122[1220],3[12] - 167[5230],3[15] - 18[1090]
13,0[0] - 138[1380],7[28] - 177[5545],3[15] - 18[1090]
14,13[52] - 149[1490],4[16] - 189[5935],3[15] - 18[1090]
15,6[24] - 159[1590],6[24] - 197[6185],3[15] - 18[1090]
16,0[0] - 156[1560],11[44] - 205[6435],3[15] - 18[1090]
17,2[8] - 160[1600],4[16] - 212[6655],3[15] - 18[1090]
18,2[8] - 160[1600],3[12] - 218[6835],3[15] - 18[1090]
19,0[0] - 154[1540],3[12] - 222[6955],3[15] - 18[1090]
20,0[0] - 154[1540],5[20] - 227[7105],3[15] - 18[1090]
1,0[0] - 0[0],0[0] - 0[0],1[5] - 1[80]
2,2[8] - 10[100],7[28] - 12[375],0[0] - 6[420]
1,0[0] - 0[0],0[0] - 0[0],2[10] - 2[150]
2,12[48] - 2[20],5[20] - 13[410],0[0] - 8[495]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 2[115]
2,2[8] - 3[30],5[20] - 13[430],2[10] - 7[455]
3,9[36] - 24[240],6[24] - 28[885],9[45] - 9[585]
4,63[252] - 19[190],10[40] - 51[1620],5[25] - 10[660]
5,8[32] - 51[510],1[4] - 64[2040],2[10] - 11[710]
6,2[8] - 68[680],2[8] - 75[2395],4[20] - 11[710]
7,0[0] - 78[780],6[24] - 90[2865],4[20] - 11[710]
8,46[184] - 85[850],6[24] - 107[3415],5[25] - 12[800]
9,21[84] - 105[1050],3[12] - 123[3930],2[10] - 14[920]
10,18[72] - 108[1080],5[20] - 140[4445],2[10] - 14[920]
1,32[128] - 1[10],38[152] - 0[0],2[10] - 1[100]
2,7[28] - 15[150],5[20] - 10[305],11[55] - 5[370]
3,15[60] - 43[430],4[16] - 30[955],0[0] - 10[650]
4,10[40] - 58[580],6[24] - 44[1395],3[15] - 11[700]
5,4[16] - 79[790],13[52] - 72[2270],3[15] - 11[700]
6,1[4] - 88[880],3[12] - 90[2845],6[30] - 12[750]
7,34[136] - 96[960],1[4] - 105[3305],2[10] - 13[800]
8,2[8] - 129[1290],1[4] - 115[3615],7[35] - 13[800]
9,20[80] - 141[1410],12[48] - 130[4095],2[10] - 16[950]
10,2[8] - 151[1510],2[8] - 137[4315],2[10] - 16[950]
11,23[92] - 162[1620],3[12] - 150[4715],4[20] - 17[1020]
12,0[0] - 179[1790],0[0] - 164[5155],20[100] - 17[1020]
13,2[8] - 180[1800],0[0] - 172[5405],0[0] - 18[1120]
14,5[20] - 183[1830],0[0] - 181[5680],0[0] - 18[1120]
15,2[8] - 190[1900],6[24] - 185[5805],0[0] - 18[1120]
16,0[0] - 186[1860],7[28] - 192[6025],0[0] - 18[1120]
17,1[4] - 190[1900],2[8] - 197[6180],0[0] - 18[1120]
18,2[8] - 191[1910],12[48] - 201[6305],0[0] - 18[1120]
19,2[8] - 183[1830],2[8] - 205[6430],0[0] - 18[1120]
20,1[4] - 186[1860],3[12] - 210[6580],0[0] - 18[1120]
21,1[4] - 187[1870],5[20] - 214[6700],0[0] - 18[1120]
22,2[8] - 179[1790],4[16] - 220[6885],0[0] - 18[1120]
23,2[8] - 182[1820],12[48] - 224[7005],0[0] - 18[1120]
24,2[8] - 184[1840],7[28] - 228[7140],0[0] - 18[1120]
25,3[12] - 175[1750],1[4] - 234[7330],0[0] - 18[1120]
26,2[8] - 177[1770],5[20] - 238[7460],0[0] - 18[1120]
27,1[4] - 179[1790],3[12] - 242[7590],0[0] - 18[1120]
28,1[4] - 171[1710],4[16] - 245[7685],0[0] - 18[1120]
29,4[16] - 172[1720],0[0] - 250[7845],0[0] - 18[1120]
30,0[0] - 174[1740],0[0] - 254[7970],0[0] - 18[1120]
31,0[0] - 165[1650],2[8] - 258[8095],0[0] - 18[1120]
32,0[0] - 165[1650],2[8] - 258[8095],0[0] - 18[1120]
33,0[0] - 165[1650],2[8] - 258[8095],0[0] - 18[1120]
34,0[0] - 156[1560],2[8] - 258[8095],0[0] - 18[1120]
35,0[0] - 156[1560],2[8] - 258[8095],0[0] - 18[1120]
36,0[0] - 156[1560],2[8] - 258[8095],0[0] - 18[1120]
37,0[0] - 147[1470],2[8] - 258[8095],0[0] - 18[1120]
38,0[0] - 147[1470],2[8] - 258[8095],0[0] - 18[1120]
39,0[0] - 147[1470],2[8] - 258[8095],0[0] - 18[1120]
40,0[0] - 138[1380],2[8] - 258[8095],0[0] - 18[1120]
41,0[0] - 138[1380],2[8] - 258[8095],0[0] - 18[1120]
42,0[0] - 138[1380],2[8] - 258[8095],0[0] - 18[1120]
43,0[0] - 129[1290],2[8] - 258[8095],0[0] - 18[1120]
44,0[0] - 129[1290],2[8] - 258[8095],0[0] - 18[1120]
45,0[0] - 129[1290],2[8] - 258[8095],0[0] - 18[1120]
46,0[0] - 120[1200],2[8] - 258[8095],0[0] - 18[1120]
47,0[0] - 120[1200],2[8] - 258[8095],0[0] - 18[1120]
48,0[0] - 120[1200],2[8] - 258[8095],0[0] - 18[1120]
49,0[0] - 111[1110],2[8] - 258[8095],0[0] - 18[1120]
50,0[0] - 111[1110],2[8] - 258[8095],0[0] - 18[1120]
51,0[0] - 111[1110],2[8] - 258[8095],0[0] - 18[1120]
52,0[0] - 101[1010],2[8] - 258[8095],0[0] - 18[1120]
53,0[0] - 101[1010],2[8] - 258[8095],0[0] - 18[1120]
54,0[0] - 101[1010],2[8] - 258[8095],0[0] - 18[1120]
55,0[0] - 91[910],2[8] - 258[8095],0[0] - 18[1120]
56,0[0] - 91[910],2[8] - 258[8095],0[0] - 18[1120]
57,0[0] - 91[910],2[8] - 258[8095],0[0] - 18[1120]
58,0[0] - 81[810],2[8] - 258[8095],0[0] - 18[1120]
59,0[0] - 81[810],2[8] - 258[8095],0[0] - 18[1120]
60,0[0] - 81[810],2[8] - 258[8095],0[0] - 18[1120]
61,0[0] - 71[710],2[8] - 258[8095],0[0] - 18[1120]
62,0[0] - 71[710],2[8] - 258[8095],0[0] - 18[1120]
63,0[0] - 71[710],2[8] - 258[8095],0[0] - 18[1120]
64,0[0] - 61[610],2[8] - 258[8095],0[0] - 18[1120]
65,0[0] - 61[610],2[8] - 258[8095],0[0] - 18[1120]
66,0[0] - 61[610],2[8] - 258[8095],0[0] - 18[1120]
67,0[0] - 51[510],2[8] - 258[8095],0[0] - 18[1120]
68,0[0] - 51[510],2[8] - 258[8095],0[0] - 18[1120]
69,0[0] - 51[510],2[8] - 258[8095],0[0] - 18[1120]
70,0[0] - 41[410],2[8] - 258[8095],0[0] - 18[1120]
71,2044[8176] - 62[620],2[8] - 258[8095],0[0] - 18[1120]
72,1948[7792] - 93[930],2[8] - 258[8095],0[0] - 18[1120]
73,2041[8164] - 107[1070],2[8] - 258[8095],0[0] - 18[1120]
74,1966[7864] - 132[1320],2[8] - 258[8095],0[0] - 18[1120]
75,1897[7588] - 155[1550],2[8] - 258[8095],0[0] - 18[1120]
76,1801[7204] - 177[1770],2[8] - 258[8095],0[0] - 18[1120]
77,1729[6916] - 201[2010],2[8] - 258[8095],0[0] - 18[1120]
78,1663[6652] - 223[2230],2[8] - 258[8095],0[0] - 18[1120]
79,1570[6280] - 244[2440],2[8] - 258[8095],0[0] - 18[1120]
80,1489[5956] - 271[2710],2[8] - 258[8095],0[0] - 18[1120]
81,1408[5632] - 298[2980],2[8] - 258[8095],0[0] - 18[1120]
82,1318[5272] - 317[3170],2[8] - 258[8095],0[0] - 18[1120]
83,1210[4840] - 353[3530],2[8] - 258[8095],0[0] - 18[1120]
84,1129[4516] - 381[3810],2[8] - 258[8095],0[0] - 18[1120]
85,1033[4132] - 403[4030],2[8] - 258[8095],0[0] - 18[1120]
86,940[3760] - 433[4330],2[8] - 258[8095],0[0] - 18[1120]
87,883[3532] - 452[4520],2[8] - 258[8095],0[0] - 18[1120]
88,808[3232] - 468[4680],2[8] - 258[8095],0[0] - 18[1120]
89,712[2848] - 500[5000],2[8] - 258[8095],0[0] - 18[1120]
90,619[2476] - 531[5310],2[8] - 258[8095],0[0] - 18[1120]
91,547[2188] - 545[5450],2[8] - 258[8095],0[0] - 18[1120]
92,484[1936] - 566[5660],2[8] - 258[8095],0[0] - 18[1120]
93,388[1552] - 598[5980],2[8] - 258[8095],0[0] - 18[1120]
94,310[1240] - 614[6140],2[8] - 258[8095],0[0] - 18[1120]
95,229[916] - 641[6410],2[8] - 258[8095],0[0] - 18[1120]
96,154[616] - 666[6660],2[8] - 258[8095],0[0] - 18[1120]
97,67[268] - 685[6850],2[8] - 258[8095],0[0] - 18[1120]
98,1[4] - 707[7070],2[8] - 258[8095],0[0] - 18[1120]
99,1[4] - 707[7070],2[8] - 258[8095],0[0] - 18[1120]
100,1[4] - 698[6980],2[8] - 258[8095],0[0] - 18[1120]
101,1[4] - 698[6980],2[8] - 258[8095],0[0] - 18[1120]
102,1[4] - 698[6980],2[8] - 258[8095],0[0] - 18[1120]
103,1[4] - 689[6890],2[8] - 258[8095],0[0] - 18[1120]
104,1[4] - 689[6890],2[8] - 258[8095],0[0] - 18[1120]
105,1[4] - 689[6890],2[8] - 258[8095],0[0] - 18[1120]
106,1[4] - 680[6800],2[8] - 258[8095],0[0] - 18[1120]
107,1[4] - 680[6800],2[8] - 258[8095],0[0] - 18[1120]
108,1[4] - 680[6800],2[8] - 258[8095],0[0] - 18[1120]
109,1[4] - 671[6710],2[8] - 258[8095],0[0] - 18[1120]
110,1[4] - 671[6710],2[8] - 258[8095],0[0] - 18[1120]
111,1[4] - 671[6710],2[8] - 258[8095],0[0] - 18[1120]
