游戏日,烹饪店,轻装店,重装店
3,331[1324] - 62[620],4[16] - 48[1535],9[45] - 2[115]
1,116[464] - 0[0],1[4] - 2[60],7[35] - 0[0]
1,109[436] - 0[0],6[24] - 14[420],4[20] - 0[0]
1,123[492] - 0[0],6[24] - 12[370],9[45] - 0[0]
2,217[868] - 30[300],2[8] - 30[945],4[20] - 1[50]
3,296[1184] - 67[670],5[20] - 52[1640],0[0] - 2[100]
4,359[1436] - 97[970],5[20] - 67[2110],8[40] - 3[150]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,86[344] - 25[250],0[0] - 9[290],7[35] - 1[50]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 0[0]
1,89[356] - 17[170],4[16] - 9[280],5[25] - 0[0]
1,127[508] - 2[20],6[24] - 10[315],9[45] - 1[50]
1,65[260] - 10[100],2[8] - 2[60],3[15] - 1[50]
1,111[444] - 6[60],55[220] - 5[150],6[30] - 0[0]
2,179[716] - 41[410],7[28] - 28[875],1[5] - 2[100]
3,219[876] - 79[790],5[20] - 45[1415],0[0] - 3[175]
4,314[1256] - 105[1050],15[60] - 58[1835],4[20] - 3[175]
5,390[1560] - 137[1370],0[0] - 78[2470],8[40] - 3[175]
6,453[1812] - 177[1770],1[4] - 89[2815],0[0] - 5[300]
7,540[2160] - 208[2080],2[8] - 99[3135],3[15] - 6[375]
8,604[2416] - 229[2290],6[24] - 108[3410],3[15] - 6[375]
9,622[2488] - 251[2510],0[0] - 116[3665],0[0] - 8[565]
10,577[2308] - 274[2740],0[0] - 123[3885],0[0] - 8[565]
11,511[2044] - 308[3080],5[20] - 127[4010],10[50] - 8[565]
12,429[1716] - 339[3390],5[20] - 132[4175],0[0] - 9[615]
13,355[1420] - 363[3630],7[28] - 135[4270],0[0] - 9[615]
14,281[1124] - 397[3970],2[8] - 139[4400],3[15] - 9[615]
15,200[800] - 432[4320],2[8] - 144[4560],3[15] - 9[615]
16,138[552] - 452[4520],7[28] - 147[4660],3[15] - 9[615]
17,60[240] - 484[4840],1[4] - 152[4820],3[15] - 9[615]
18,0[0] - 511[5110],7[28] - 158[5005],3[15] - 9[615]
19,0[0] - 511[5110],5[20] - 163[5160],3[15] - 9[615]
20,3[12] - 522[5220],2[8] - 169[5340],3[15] - 9[615]
21,7[28] - 528[5280],6[24] - 174[5495],3[15] - 9[615]
22,2[8] - 526[5260],1[4] - 179[5650],3[15] - 9[615]
23,1[4] - 530[5300],3[12] - 184[5805],3[15] - 9[615]
24,1[4] - 538[5380],4[16] - 190[5995],3[15] - 9[615]
25,8[32] - 531[5310],1[4] - 196[6180],3[15] - 9[615]
26,2[8] - 540[5400],6[24] - 199[6275],3[15] - 9[615]
27,1[4] - 546[5460],5[20] - 206[6495],3[15] - 9[615]
28,2[8] - 545[5450],2[8] - 210[6615],3[15] - 9[615]
29,2[8] - 554[5540],6[24] - 213[6715],3[15] - 9[615]
30,7[28] - 562[5620],6[24] - 216[6810],3[15] - 9[615]
31,2[8] - 557[5570],6[24] - 216[6810],3[15] - 9[615]
1,104[416] - 5[50],7[28] - 11[335],0[0] - 1[50]
2,188[752] - 36[360],3[12] - 30[945],1[5] - 2[120]
1,110[440] - 5[50],4[16] - 10[315],1[5] - 1[50]
1,122[488] - 0[0],12[48] - 9[300],4[20] - 0[0]
2,167[668] - 42[420],60[240] - 23[735],9[45] - 1[50]
3,241[964] - 71[710],4[16] - 37[1185],4[20] - 2[100]
4,308[1232] - 88[880],5[20] - 57[1815],0[0] - 3[150]
5,307[1228] - 127[1270],7[28] - 76[2420],5[25] - 3[150]
1,112[448] - 4[40],0[0] - 11[330],1[5] - 0[0]
2,273[1092] - 29[290],26[104] - 31[975],9[45] - 0[0]
1,125[500] - 10[100],4[16] - 2[60],3[15] - 0[0]
2,184[736] - 44[440],4[16] - 18[555],2[10] - 2[120]
1,56[224] - 2[20],5[20] - 3[95],8[40] - 0[0]
1,42[168] - 2[20],0[0] - 5[155],2[10] - 0[0]
1,129[516] - 0[0],4[16] - 0[0],7[35] - 1[50]
1,93[372] - 6[60],6[24] - 1[30],6[30] - 0[0]
1,98[392] - 0[0],5[20] - 2[60],0[0] - 1[50]
1,38[152] - 1[10],6[24] - 6[180],5[25] - 0[0]
2,201[804] - 39[390],7[28] - 17[520],2[10] - 1[70]
1,17[68] - 1[10],0[0] - 8[270],9[45] - 0[0]
1,95[380] - 1[10],0[0] - 1[30],4[20] - 1[50]
1,66[264] - 0[0],0[0] - 5[160],1[5] - 1[50]
2,142[568] - 26[260],5[20] - 26[815],15[75] - 1[50]
3,248[992] - 57[570],4[16] - 40[1245],1[5] - 3[175]
4,171[684] - 89[890],6[24] - 53[1660],8[40] - 4[225]
5,232[928] - 131[1310],4[16] - 69[2165],7[35] - 5[275]
6,292[1168] - 157[1570],0[0] - 84[2625],3[15] - 6[325]
1,37[148] - 1[10],33[132] - 4[120],4[20] - 1[50]
2,31[124] - 35[350],2[8] - 21[670],2[10] - 2[100]
3,125[500] - 65[650],0[0] - 38[1220],11[55] - 2[100]
4,268[1072] - 84[840],5[20] - 54[1730],1[5] - 4[200]
5,420[1680] - 112[1120],0[0] - 72[2285],1[5] - 4[200]
6,441[1764] - 136[1360],1[4] - 86[2725],1[5] - 4[200]
7,502[2008] - 165[1650],1[4] - 99[3125],1[5] - 4[200]
8,516[2064] - 206[2060],1[4] - 109[3425],5[25] - 6[340]
9,493[1972] - 233[2330],2[8] - 122[3830],5[25] - 6[340]
1,64[256] - 0[0],0[0] - 5[160],11[55] - 0[0]
2,291[1164] - 13[130],2[8] - 19[605],8[40] - 1[50]
1,75[300] - 0[0],2[8] - 5[150],0[0] - 0[0]
1,61[244] - 0[0],71[284] - 0[0],0[0] - 1[50]
1,89[356] - 0[0],41[164] - 0[0],0[0] - 0[0]
2,176[704] - 25[250],1[4] - 12[370],8[40] - 1[50]
1,71[284] - 0[0],4[16] - 4[130],0[0] - 0[0]
2,173[692] - 21[210],0[0] - 24[760],0[0] - 1[50]
3,239[956] - 57[570],1[4] - 40[1270],2[10] - 1[50]
4,316[1264] - 80[800],14[56] - 59[1865],2[10] - 1[50]
5,419[1676] - 105[1050],4[16] - 74[2330],3[15] - 2[115]
6,467[1868] - 138[1380],7[28] - 89[2795],1[5] - 3[165]
1,22[88] - 4[40],7[28] - 5[165],0[0] - 1[75]
2,110[440] - 44[440],10[40] - 21[675],0[0] - 2[125]
3,90[360] - 82[820],4[16] - 36[1155],3[15] - 2[125]
4,202[808] - 106[1060],25[100] - 51[1630],2[10] - 3[200]
5,193[772] - 147[1470],6[24] - 67[2130],2[10] - 4[250]
6,240[960] - 179[1790],0[0] - 82[2590],0[0] - 5[315]
7,256[1024] - 204[2040],4[16] - 93[2925],7[35] - 5[315]
1,9[36] - 11[110],5[20] - 5[165],3[15] - 0[0]
2,148[592] - 45[450],5[20] - 21[675],4[20] - 1[50]
1,43[172] - 1[10],1[4] - 5[155],7[35] - 0[0]
1,65[260] - 0[0],34[136] - 1[30],3[15] - 0[0]
2,121[484] - 22[220],6[24] - 16[500],9[45] - 0[0]
3,199[796] - 53[530],19[76] - 33[1020],5[25] - 1[50]
1,41[164] - 1[10],7[28] - 5[160],8[40] - 0[0]
2,168[672] - 31[310],46[184] - 16[515],8[40] - 0[0]
3,203[812] - 61[610],6[24] - 31[985],3[15] - 1[65]
4,308[1232] - 83[830],2[8] - 50[1570],4[20] - 1[65]
5,389[1556] - 112[1120],6[24] - 65[2035],8[40] - 1[65]
6,440[1760] - 145[1450],4[16] - 77[2435],1[5] - 2[145]
7,501[2004] - 165[1650],1[4] - 90[2840],5[25] - 2[145]
8,505[2020] - 203[2030],6[24] - 99[3125],9[45] - 3[195]
9,512[2048] - 236[2360],6[24] - 111[3490],2[10] - 5[320]
10,485[1940] - 267[2670],1[4] - 118[3705],5[25] - 6[390]
11,462[1848] - 292[2920],2[8] - 124[3885],5[25] - 7[455]
12,427[1708] - 324[3240],4[16] - 128[4010],5[25] - 7[455]
13,360[1440] - 345[3450],0[0] - 131[4105],0[0] - 8[505]
14,295[1180] - 376[3760],2[8] - 135[4235],0[0] - 8[505]
15,228[912] - 410[4100],7[28] - 140[4385],0[0] - 8[505]
16,163[652] - 432[4320],3[12] - 144[4505],0[0] - 8[505]
17,98[392] - 464[4640],0[0] - 148[4630],0[0] - 8[505]
18,30[120] - 497[4970],2[8] - 152[4765],0[0] - 8[505]
19,5[20] - 502[5020],1[4] - 156[4895],0[0] - 8[505]
20,0[0] - 516[5160],7[28] - 158[4955],0[0] - 8[505]
1,57[228] - 0[0],7[28] - 4[130],7[35] - 0[0]
2,110[440] - 40[400],30[120] - 22[695],6[30] - 1[50]
1,74[296] - 0[0],23[92] - 2[60],0[0] - 0[0]
2,99[396] - 26[260],6[24] - 18[545],6[30] - 0[0]
1,62[248] - 0[0],1[4] - 5[160],0[0] - 0[0]
2,130[520] - 23[230],0[0] - 16[510],2[10] - 2[120]
3,242[968] - 52[520],1[4] - 31[985],1[5] - 3[170]
4,299[1196] - 68[680],4[16] - 47[1495],4[20] - 3[170]
5,470[1880] - 93[930],3[12] - 65[2065],8[40] - 3[170]
6,537[2148] - 120[1200],5[20] - 82[2610],0[0] - 4[260]
7,608[2432] - 132[1320],0[0] - 98[3105],0[0] - 4[260]
8,607[2428] - 167[1670],3[12] - 110[3475],5[25] - 5[330]
9,694[2776] - 190[1900],1[4] - 119[3755],7[35] - 6[400]
10,687[2748] - 206[2060],7[28] - 127[4005],6[30] - 7[450]
1,103[412] - 0[0],0[0] - 0[0],5[25] - 0[0]
2,124[496] - 29[290],3[12] - 14[455],7[35] - 0[0]
3,212[848] - 63[630],5[20] - 30[955],7[35] - 0[0]
4,254[1016] - 92[920],24[96] - 41[1300],7[35] - 1[50]
5,298[1192] - 122[1220],7[28] - 55[1745],8[40] - 2[100]
6,340[1360] - 155[1550],6[24] - 70[2215],9[45] - 3[150]
7,400[1600] - 186[1860],3[12] - 83[2635],9[45] - 3[150]
8,434[1736] - 223[2230],7[28] - 92[2910],0[0] - 4[200]
9,485[1940] - 255[2550],1[4] - 103[3250],2[10] - 5[280]
10,505[2020] - 273[2730],4[16] - 110[3470],2[10] - 5[280]
11,498[1992] - 304[3040],0[0] - 116[3665],6[30] - 6[345]
12,477[1908] - 334[3340],0[0] - 120[3795],8[40] - 7[420]
13,422[1688] - 358[3580],3[12] - 123[3885],5[25] - 8[520]
14,397[1588] - 385[3850],3[12] - 126[3985],6[30] - 9[595]
15,354[1416] - 415[4150],4[16] - 130[4110],6[30] - 9[595]
16,260[1040] - 450[4500],6[24] - 133[4200],6[30] - 9[595]
17,189[756] - 486[4860],5[20] - 137[4320],6[30] - 9[595]
18,134[536] - 518[5180],5[20] - 140[4415],6[30] - 9[595]
19,73[292] - 542[5420],7[28] - 143[4505],6[30] - 9[595]
20,9[36] - 581[5810],6[24] - 147[4640],6[30] - 9[595]
21,1[4] - 598[5980],7[28] - 150[4730],6[30] - 9[595]
22,1[4] - 603[6030],7[28] - 152[4795],6[30] - 9[595]
23,6[24] - 619[6190],3[12] - 155[4885],6[30] - 9[595]
24,6[24] - 630[6300],0[0] - 160[5040],6[30] - 9[595]
25,7[28] - 636[6360],6[24] - 162[5105],6[30] - 9[595]
26,1[4] - 652[6520],2[8] - 166[5235],6[30] - 9[595]
27,1[4] - 664[6640],0[0] - 169[5325],6[30] - 9[595]
28,2[8] - 667[6670],7[28] - 172[5415],6[30] - 9[595]
29,2[8] - 683[6830],4[16] - 175[5505],6[30] - 9[595]
30,1[4] - 694[6940],5[20] - 179[5630],6[30] - 9[595]
31,2[8] - 697[6970],5[20] - 181[5690],6[30] - 9[595]
32,2[8] - 697[6970],5[20] - 181[5690],6[30] - 9[595]
33,2[8] - 697[6970],3[12] - 182[5725],6[30] - 9[595]
34,661[2644] - 723[7230],3[12] - 182[5725],6[30] - 9[595]
35,559[2236] - 756[7560],3[12] - 182[5725],6[30] - 9[595]
36,448[1792] - 793[7930],3[12] - 182[5725],6[30] - 9[595]
37,325[1300] - 824[8240],3[12] - 182[5725],6[30] - 9[595]
38,229[916] - 857[8570],3[12] - 182[5725],6[30] - 9[595]
39,115[460] - 894[8940],3[12] - 182[5725],6[30] - 9[595]
40,31[124] - 913[9130],3[12] - 182[5725],6[30] - 9[595]
41,1015[4060] - 950[9500],3[12] - 182[5725],6[30] - 9[595]
42,928[3712] - 979[9790],3[12] - 182[5725],6[30] - 9[595]
43,838[3352] - 999[9990],3[12] - 182[5725],6[30] - 9[595]
44,754[3016] - 1027[10270],3[12] - 182[5725],6[30] - 9[595]
45,1662[6648] - 1065[10650],3[12] - 182[5725],6[30] - 9[595]
46,1524[6096] - 1101[11010],3[12] - 182[5725],6[30] - 9[595]
47,1404[5616] - 1141[11410],3[12] - 182[5725],6[30] - 9[595]
48,1302[5208] - 1174[11740],3[12] - 182[5725],6[30] - 9[595]
49,1197[4788] - 1200[12000],3[12] - 182[5725],6[30] - 9[595]
50,1770[7080] - 1232[12320],3[12] - 182[5725],6[30] - 9[595]
51,1656[6624] - 1270[12700],3[12] - 182[5725],6[30] - 9[595]
52,1539[6156] - 1299[12990],3[12] - 182[5725],6[30] - 9[595]
53,1440[5760] - 1332[13320],3[12] - 182[5725],6[30] - 9[595]
54,1347[5388] - 1363[13630],3[12] - 182[5725],6[30] - 9[595]
55,1985[7940] - 1386[13860],3[12] - 182[5725],6[30] - 9[595]
56,1892[7568] - 1417[14170],3[12] - 182[5725],6[30] - 9[595]
57,1784[7136] - 1453[14530],3[12] - 182[5725],6[30] - 9[595]
58,1703[6812] - 1470[14700],3[12] - 182[5725],6[30] - 9[595]
59,1601[6404] - 1504[15040],3[12] - 182[5725],6[30] - 9[595]
60,1493[5972] - 1540[15400],3[12] - 182[5725],6[30] - 9[595]
61,1385[5540] - 1566[15660],3[12] - 182[5725],6[30] - 9[595]
62,2530[10120] - 1604[16040],3[12] - 182[5725],6[30] - 9[595]
63,2428[9712] - 1638[16380],3[12] - 182[5725],6[30] - 9[595]
64,2347[9388] - 1655[16550],3[12] - 182[5725],6[30] - 9[595]
65,2239[8956] - 1691[16910],3[12] - 182[5725],6[30] - 9[595]
66,2170[8680] - 1714[17140],3[12] - 182[5725],6[30] - 9[595]
67,2074[8296] - 1736[17360],3[12] - 182[5725],6[30] - 9[595]
68,1996[7984] - 1762[17620],3[12] - 182[5725],6[30] - 9[595]
69,1906[7624] - 1791[17910],3[12] - 182[5725],6[30] - 9[595]
70,1816[7264] - 1811[18110],3[12] - 182[5725],6[30] - 9[595]
71,1729[6916] - 1841[18410],3[12] - 182[5725],6[30] - 9[595]
72,1657[6628] - 1865[18650],3[12] - 182[5725],6[30] - 9[595]
73,1570[6280] - 1884[18840],3[12] - 182[5725],6[30] - 9[595]
74,3970[15880] - 1916[19160],3[12] - 182[5725],6[30] - 9[595]
75,3907[15628] - 1937[19370],3[12] - 182[5725],6[30] - 9[595]
76,4031[16124] - 1951[19510],3[12] - 182[5725],6[30] - 9[595]
77,3956[15824] - 1976[19760],3[12] - 182[5725],6[30] - 9[595]
78,3860[15440] - 2008[20080],3[12] - 182[5725],6[30] - 9[595]
79,3761[15044] - 2031[20310],3[12] - 182[5725],6[30] - 9[595]
80,3662[14648] - 2063[20630],3[12] - 182[5725],6[30] - 9[595]
81,3569[14276] - 2095[20950],3[12] - 182[5725],6[30] - 9[595]
82,3488[13952] - 2112[21120],3[12] - 182[5725],6[30] - 9[595]
83,3410[13640] - 2138[21380],3[12] - 182[5725],6[30] - 9[595]
84,3344[13376] - 2160[21600],3[12] - 182[5725],6[30] - 9[595]
85,3254[13016] - 2180[21800],3[12] - 182[5725],6[30] - 9[595]
86,3170[12680] - 2208[22080],3[12] - 182[5725],6[30] - 9[595]
87,5164[20656] - 2246[22460],3[12] - 182[5725],6[30] - 9[595]
88,5080[20320] - 2264[22640],3[12] - 182[5725],6[30] - 9[595]
89,5011[20044] - 2287[22870],3[12] - 182[5725],6[30] - 9[595]
90,4897[19588] - 2325[23250],3[12] - 182[5725],6[30] - 9[595]
91,4810[19240] - 2344[23440],3[12] - 182[5725],6[30] - 9[595]
92,4723[18892] - 2373[23730],3[12] - 182[5725],6[30] - 9[595]
93,4624[18496] - 2406[24060],3[12] - 182[5725],6[30] - 9[595]
94,4546[18184] - 2422[24220],3[12] - 182[5725],6[30] - 9[595]
95,4477[17908] - 2444[24440],3[12] - 182[5725],6[30] - 9[595]
96,4390[17560] - 2474[24740],3[12] - 182[5725],6[30] - 9[595]
97,4300[17200] - 2493[24930],3[12] - 182[5725],6[30] - 9[595]
98,5979[23916] - 2527[25270],3[12] - 182[5725],6[30] - 9[595]
99,5883[23532] - 2559[25590],3[12] - 182[5725],6[30] - 9[595]
100,5784[23136] - 2582[25820],3[12] - 182[5725],6[30] - 9[595]
101,5688[22752] - 2614[26140],3[12] - 182[5725],6[30] - 9[595]
102,5595[22380] - 2645[26450],3[12] - 182[5725],6[30] - 9[595]
